Facility Name,Address Line 1,City/Town,State,ZIP Code,Beliefs & Values Addressed (if desired by the patient),"Burdensome transitions, Type 1 (% live discharges)","Burdensome transitions, Type 2 (% live discharges)",CHC/GIP provided (% days),Early live discharges (% live discharges),Gaps in nursing visits (% elections),Hospice Care Index Overall Score,Hospice Visits in the Last Days of Life,Hospice and Palliative Care Composite Process Measure,Hospice and Palliative Care Dyspnea Screening,Hospice and Palliative Care Dyspnea Treatment,Hospice and Palliative Care Pain Assessment,Hospice and Palliative Care Pain Screening,Hospice and Palliative Care Treatment Preferences,Late live discharges (% live discharges),Nurse care minutes per routine home care days (minutes),Patient Treated with an Opioid Who Are Given a Bowel Regimen,Per-beneficiary spending (U.S. dollars $),Skilled nursing minutes on weekends (% minutes),Visits near death (% decedents)
HILLCREST HOSPICE,"1702 WEST BROADWAY, SUITE 7",COUNCIL BLUFFS,IA,51501,100.0,6.1,0.0,0.8,3.0,36.3,10.0,62.4,100.0,100.0,100.0,100.0,100.0,100.0,36.4,21.0,100.0,"10,433",9.5,95.8
HILLCREST HOSPICE,"1820 HILLCREST DRIVE, SUITE B",BELLEVUE,NE,68005,100.0,7.0,0.0,0.5,3.5,58.9,9.0,62.8,100.0,100.0,100.0,100.0,100.0,100.0,61.6,16.9,100.0,"14,124",8.3,95.3
"HILLCREST HOSPICE CARE, LLC",1059 GREEN STREET SE,CONYERS,GA,30012,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HILLCREST HOSPICE INC,"2955 EAST HILLCREST DRIVE, SUITE 128",THOUSAND OAKS,CA,91362,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"HILLHURST HOSPICE, INC","1670 HILLHURST AVE, SUITE 203",LOS ANGELES,CA,90027,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HILLSIDE HOSPICE,707 S UNIVERSITY AVE,BEAVER DAM,WI,53916,98.0,11.1,0.0,0.0,5.6,55.6,10.0,78.4,93.9,100.0,98.5,100.0,98.0,99.0,38.9,12.9,100.0,"14,389",8.8,96.8
HINDS HOSPICE - FRESNO,"2490 W SHAW AVE, SUITE 101",FRESNO,CA,93711,99.4,4.7,0.8,0.9,9.5,48.2,10.0,56.5,93.2,98.5,99.3,90.1,99.7,99.8,38.3,14.9,99.4,"13,792",8.8,93.9
HJM HOSPICE AND PALLIATIVE CARE,1505 HIGHWAY 6 S SUITE #240,HOUSTON,TX,77077,Not Available,4.0,0.0,0.0,0.0,88.2,6.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,80.0,5.1,Not Available,"24,010",6.8,100
"HOAG HOSPICE, LLC",4041 MACARTHUR BLVD,NEWPORT BEACH,CA,92660,100.0,5.6,3.4,1.5,13.4,43.7,10.0,45.6,98.8,99.9,99.7,99.3,99.6,100.0,29.1,16.8,99.7,"14,038",9.5,96.5
HOFFMANN HOSPICE,"4325 BUENA VISTA RD, BLDG A",BAKERSFIELD,CA,93311,99.9,5.4,1.9,0.9,13.6,24.8,10.0,40.0,94.9,99.9,99.1,99.5,95.5,99.9,37.6,20.7,100.0,"12,596",6.0,92.5
HOLDING HANDS HOSPICE,"3169 BARBARA CT, SUITE F",LOS ANGELES,CA,90068,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HOLDING HANDS HOSPICE,8111 LBJ FREEWAY SUITE 1000,DALLAS,TX,75251,100.0,15.6,6.3,0.2,9.4,69.5,7.0,54.2,95.4,100.0,100.0,88.7,100.0,100.0,56.3,10.3,100.0,"27,067",3.9,96.5
"HOLISTIC CARE HOSPICE & PALLIATIVE SERVICES, INC","7037 LAUREAL CANYON BLVD, SUITE 102",N HOLLYWOOD,CA,91605,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HOLISTIC HOSPICE,4115 MEDICAL DR STE 302E,SAN ANTONIO,TX,78229,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HOLISTIC HOSPICE,8777 W FOREST HOME AVE,GREENFIELD,WI,53228,99.3,14.1,3.1,0.3,10.9,7.3,10.0,48.1,51.3,90.7,Not Available,28.1,72.7,100.0,53.1,10.0,96.3,"16,905",6.8,98.3
"HOLISTIC HOSPICE AND PALLIATIVE CARE, INC","105 WEST ALAMEDA AVE, SUITE 218",BURBANK,CA,91502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"HOLISTIC HOSPICE CARE SERVICES, INC","1616 VICTORY BLVD, STE 202",GLENDALE,CA,91201,Not Available,4.3,0.0,0.0,0.0,73.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.7,11.2,Not Available,"20,580",7.6,Not Available
"HOLISTIC PALLIATIVE CARE, INC","5707 REDWOOD ROAD, SUITE 1",OAKLAND,CA,94619,99.1,3.4,0.0,0.0,6.9,64.2,10.0,20.5,98.3,100.0,100.0,99.0,100.0,100.0,48.3,12.6,100.0,"19,653",24.1,86.5
"HOLISTICARE HOSPICE OF NEW JERSEY, LLC","1268 ROUTE 37 WEST, UNIT #2",TOMS RIVER,NJ,8755,99.5,12.9,2.2,0.0,10.8,78.3,10.0,48.1,84.4,99.7,84.1,85.7,96.2,99.7,41.9,10.3,93.8,"16,654",5.9,87.0
"HOLISTICARE HOSPICE, LLC",985 OLD EAGLE SCHOOL ROAD SUITE 504,WAYNE,PA,19087,98.9,3.5,1.0,0.0,3.5,74.2,9.0,66.3,95.5,99.7,99.3,96.8,99.4,99.8,54.2,14.7,99.1,"16,342",6.2,94.2
"HOLLY ANGELS OF LA HOSPICE CARE, INC",13615 VICTORY BLVD #113,VAN NUYS,CA,91401,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"HOLLY TRINITY HOSPICE, INC","1101 EAST BROADWAY, SUITE 108",GLENDALE,CA,91205,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HOLLYWOOD HOSPICE,"4640 LANKERSHIM BLVD, STE 110",N HOLLYWOOD,CA,91602,100.0,11.1,11.1,1.4,22.2,48.7,8.0,Not Available,92.7,100.0,100.0,85.0,100.0,100.0,44.4,16.3,Not Available,"19,603",10.0,96.4
HOLTON COMMUNITY HOSP HOME HEALTH & HOSPICE AGENCY,1110 COLUMBINE DR,HOLTON,KS,66436,97.8,0.0,0.0,0.0,0.0,30.8,9.0,61.2,97.8,100.0,100.0,100.0,100.0,100.0,27.3,12.5,Not Available,"9,458",8.2,92.3
"HOLY CARE HOSPICE, INC","13758 VICTORY BLVD, SUITE 200",VAN NUYS,CA,91401,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HOLY CROSS HOME CARE AND HOSPICE,10720 COLUMBIA PIKE SECOND FLOOR,SILVER SPRING,MD,20901,99.7,4.4,1.1,2.9,8.9,68.1,10.0,65.1,99.5,100.0,100.0,100.0,99.7,100.0,30.0,11.2,100.0,"11,431",9.2,93.3
HOLY CROSS HOSPICE ,1103 S MESA DR,MESA,AZ,85210,98.8,5.4,0.0,0.1,0.0,28.6,10.0,91.3,90.6,100.0,98.2,90.7,100.0,100.0,29.7,15.7,Not Available,"16,077",14.4,100
"HOLY CROSS HOSPICE, INC","28 N OAK AVE, SUITE 201",PASADENA,CA,91107,100.0,17.6,8.8,0.2,11.8,28.6,8.0,6.3,92.1,97.4,100.0,97.1,97.4,97.4,41.2,20.0,Not Available,"18,150",6.7,95.0
HOLY FAMILY HOSPICE,6707 STATE ROAD,PARMA,OH,44134,99.8,4.0,2.0,4.1,6.0,48.0,10.0,59.1,99.8,100.0,100.0,100.0,100.0,100.0,36.0,15.2,100.0,"13,264",17.5,98.2
HOLY FAMILY HOSPICE,"7250 BEVERLY BLVD, SUITE 203",LOS ANGELES,CA,90036,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HOLY HOSPICE AND PALLIATIVE CARE LLC,2300 VALLEY VIEW LN STE 915,IRVING,TX,75062,99.4,14.0,1.9,0.8,3.7,63.3,8.0,61.3,97.6,99.4,100.0,99.1,99.4,99.4,29.9,6.3,Not Available,"23,596",4.0,97.8
HOLY NAME HOSPICE,718 TEANECK ROAD,TEANECK,NJ,7666,99.2,0.0,3.7,5.7,14.8,50.0,8.0,76.1,95.1,99.8,92.9,99.3,99.8,100.0,66.7,22.6,95.6,"11,069",17.0,99.3
HOLY REDEEMER HOSPICE - PA,12265 TOWNSEND ROAD  SUITE 400,PHILADELPHIA,PA,19154,99.6,2.1,1.0,0.4,9.4,41.3,10.0,59.0,99.1,99.8,99.7,99.6,100.0,100.0,40.6,13.2,99.0,"10,546",10.0,93.0
"HOLY REDEEMER HOSPICE-NJ, SHORE","6550 DELILAH ROAD, SUITE 5, AIRPORT COMMERCE CTR",EGG HARBOR TWP,NJ,8234,100.0,10.9,2.2,0.5,10.9,24.9,10.0,81.6,100.0,100.0,100.0,100.0,100.0,100.0,44.6,14.5,100.0,"11,172",10.9,96.5
"HOLY REDEEMER HOSPICE-NJ, SOUTH","160 E NINTH AVENUE,, SUITE B, PO BOX 250",RUNNEMEDE,NJ,8078,100.0,2.6,2.6,0.0,12.8,19.4,10.0,75.2,98.9,99.4,100.0,98.1,100.0,100.0,28.2,16.3,100.0,"10,725",9.7,97.0
HOLY ROSARY HOSPICE,2600 WILSON ST,MILES CITY,MT,59301,95.5,0.0,0.0,0.0,11.1,33.3,9.0,78.2,79.5,95.5,100.0,78.3,97.7,100.0,0.0,20.3,Not Available,"6,829",8.0,95.6
HOLY SAVER HOSPICE INC,14011 VENTURA BLVD SUITE 405E,SHERMAN OAKS,CA,91423,100.0,18.8,3.1,1.0,6.3,21.7,8.0,Not Available,84.2,100.0,97.5,Not Available,100.0,100.0,40.6,18.5,Not Available,"26,724",19.5,98.1
HOLY SAVIOR HOSPICE,1600 AIRPORT FREEWAY SUITE 503,BEDFORD,TX,76022,98.1,16.2,2.1,0.4,9.9,84.3,8.0,43.6,80.5,98.5,97.4,98.9,87.3,97.9,47.2,7.8,75.8,"18,194",7.5,92.6
HOLY SAVIOR HOSPICE,1752 SANTA FE ST ,CORPUS CHRISTI,TX,78404,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HOLY SAVIOR HOSPICE,3201 CHERRY RIDGE STE 205 B,SAN ANTONIO,TX,78230,99.8,11.8,4.2,0.3,5.0,78.2,9.0,46.3,89.3,99.8,97.0,98.0,91.8,99.8,50.4,7.0,99.5,"17,364",8.7,93.3
HOLZER MEDICAL CENTER HOSPICE,2881 STATE ROUTE 160,GALLIPOLIS,OH,45631,84.4,5.3,0.0,5.0,5.3,40.5,9.0,50.4,82.1,100.0,98.9,98.0,98.9,100.0,31.6,16.0,100.0,"6,952",4.4,94.5
HOME AND COMMUNITY HOSPICE INC,337 N VINEYARD AVENUE SUITE 306,ONTARIO,CA,91764,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HOME CARE SELECT HOSPICE,"3500 W DAVIS ST, SUITE 150B",CONROE,TX,77074,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"HOME CONNECT HOSPICE, LLC",200 BROWN ROAD,FREMONT,CA,94539,100.0,0.0,0.0,0.0,100,34.3,8.0,25.0,86.8,100.0,100.0,91.1,91.2,100.0,0.0,15.3,Not Available,"12,634",11.5,94.6
HOME HEALTH & HOSPICE CARE,7 EXECUTIVE PARK DRIVE,MERRIMACK,NH,3054,100.0,3.9,1.3,3.0,10.4,60.4,10.0,80.0,99.5,99.7,100.0,99.5,100.0,100.0,36.4,14.9,100.0,"11,795",17.0,97.9
HOME HEALTH & HOSPICE OF KANSAS,7607 E HARRY STE 100,WICHITA,KS,67207,100.0,7.8,1.6,0.0,4.7,53.7,8.0,70.1,92.9,100.0,85.9,98.4,100.0,99.4,52.7,11.4,Not Available,"20,421",3.4,98.1
HOME HEALTH & HOSPICE OF MONTANA,2445 S 3RD ST. W,MISSOULA,MT,59801,96.6,0.0,4.2,0.0,8.3,80.2,7.0,35.8,75.9,96.6,Not Available,Not Available,93.1,96.6,16.7,7.3,Not Available,"16,808",4.2,75.9
HOME HEALTH AND HOSPICE S L M V R M C,601 POLE LINE ROAD,TWIN FALLS,ID,83301,100.0,0.0,0.0,1.0,16.0,38.3,9.0,71.3,97.6,100.0,98.8,96.2,100.0,100.0,24.0,15.2,100.0,"8,432",8.2,98.7
HOME HEALTH CARE PROFESSIONALS AND HOSPICE,520 BURKE BYPASS,OLYPHANT,PA,18447,100.0,3.8,0.0,0.1,3.8,80.2,9.0,53.1,98.5,100.0,100.0,100.0,98.5,100.0,38.5,10.7,Not Available,"15,708",2.7,94.4
HOME HEALTH PROFESSIONAL & HOSPICE,2222 SPENCE CIRCLE,JONESBORO,AR,72401,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HOME HOSPICE,505 WEST CENTER STREET,SHERMAN,TX,75090,100.0,10.3,3.4,0.2,5.2,21.7,10.0,86.9,94.9,97.9,94.1,100.0,100.0,100.0,36.2,15.8,100.0,"14,838",8.8,98.6
HOME HOSPICE,"601 E 2ND ST, STE F",ODESSA,TX,79761,99.7,9.9,2.5,0.6,9.9,59.5,9.0,52.8,58.9,96.8,99.1,46.2,86.4,100.0,27.3,7.3,99.5,"12,417",8.6,94.4
HOME HOSPICE DENVER,9100 E MINERAL CIR,CENTENNIAL,CO,80112,100.0,0.0,0.0,0.0,0.0,50.0,8.0,Not Available,100.0,100.0,Not Available,Not Available,100.0,100.0,33.3,13.9,Not Available,"6,446",2.9,100
HOME NOW HEALTHCARE SERVICES,"120 W AMERICAN CANYON RD, M-10",AMERICAN CANYON,CA,94503,100.0,10.0,0.0,0.0,5.0,5.2,9.0,8.9,91.7,97.9,Not Available,100.0,100.0,100.0,55.0,15.5,100.0,"33,294",5.3,75.4
HOME NURSING COMPANY INC,1770 EAST MAIN STREET,LEBANON,VA,24266,100.0,10.0,20.0,0.0,30.0,39.2,8.0,63.3,96.9,100.0,100.0,100.0,96.9,100.0,20.0,13.2,Not Available,"7,935",7.1,98.2
HOME TOWN HOSPICE,921 W MYRTLE ,INDEPENDENCE,KS,67301,93.8,0.0,9.1,0.0,18.2,6.5,6.0,91.7,91.7,100.0,97.4,Not Available,100.0,100.0,63.6,19.8,Not Available,"10,810",7.7,99.0
HOMEBRIDGE HOSPICE OF AAMC,763 HIGHWAY 28 BYP STE 16,ABBEVILLE,SC,29620,100.0,6.7,6.7,0.6,20.0,15.6,7.0,72.1,100.0,100.0,Not Available,Not Available,100.0,100.0,13.3,15.9,Not Available,"13,522",4.3,96.5
"HOMEBRIDGE HOSPICE, INC",127 S BRAND BLVD SUITE 226,GLENDALE,CA,91204,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HOMECARE & HOSPICE,115 EAST MAIN STREET,ALLEGANY,NY,14076,100.0,1.6,9.8,0.1,14.8,63.7,7.0,17.8,96.9,100.0,98.8,94.8,99.8,100.0,23.0,8.6,98.2,"6,321",2.5,75.1
HOMECARE HEALTH SERVICES HOSPICE,1004 WASHINGTON ST,MANITOWOC,WI,54220,Not Available,0.0,0.0,0.0,25.0,72.9,8.0,90.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25.0,11.6,Not Available,"20,359",13.1,100
HOMECARE HOSPICE NORTH LLC,301 HIGHWAY 30 WEST,NEW ALBANY,MS,38652,100.0,30.6,0.9,0.0,2.8,50.2,9.0,77.1,99.1,100.0,99.3,100.0,100.0,100.0,50.9,10.2,98.0,"20,102",5.4,96.4
"HOMECARE HOSPICE SOUTH, LLC",2903 ARLINGTON LOOP,HATTIESBURG,MS,39401,99.0,28.8,1.9,0.0,9.6,33.0,8.0,53.8,97.6,100.0,98.4,100.0,99.5,100.0,40.4,8.2,98.3,"15,458",4.5,81.0
"HOMECARE HOSPICE, INC ( CENTRAL )","13  NORTHTOWN DRIVE, SUITE 130",JACKSON,MS,39211,99.5,24.6,3.3,0.0,4.9,41.3,8.0,53.9,97.9,100.0,97.6,100.0,100.0,100.0,50.8,8.5,100.0,"18,568",3.4,83.7
HOMEDIC HOSPICE CARE,"358 E OLIVE AVE, UNIT 102",BURBANK,CA,91502,100.0,8.3,0.0,0.1,4.2,52.8,9.0,Not Available,85.0,97.5,94.7,96.2,97.5,100.0,29.2,11.1,Not Available,"29,895",21.5,100
HOMELAND HOSPICE,2300 VARTAN WAY SUITE 270,HARRISBURG,PA,17110,100.0,2.9,0.0,0.2,2.9,58.0,9.0,74.5,99.9,100.0,100.0,100.0,100.0,100.0,58.6,11.0,99.2,"12,442",6.8,96.4
"HOMELINE HOSPICE, INC","436 W COLORADO ST, SUITE 110",GLENDALE,CA,91204,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HOMEREACH HOSPICE,"2250 OBISPO AVE, SUITE 101",SIGNAL HILL,CA,90755,Not Available,11.1,0.0,2.8,0.0,0.0,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,77.8,28.1,Not Available,"28,551",13.1,100
HOMEREACH HOSPICE,"444 WEST UNION STREET, SUITE B",ATHENS,OH,45701,99.6,11.1,0.0,0.9,11.1,47.4,10.0,59.0,98.4,99.2,100.0,99.4,100.0,99.6,27.8,16.4,100.0,"11,341",10.8,96.7
HOMESERVE HOSPICE INC,2777 PACIFIC AVE SUITE J,LONG BEACH,CA,90806,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HOMESIDE HOSPICE LLC,"67 WALNUT AVENUE, SUITE 205",CLARK,NJ,7066,99.0,8.6,1.9,0.1,3.8,76.0,8.0,18.4,95.9,99.5,98.4,97.2,98.2,100.0,55.2,6.5,100.0,"18,017",4.2,77.6
"HOMESPUN HOSPICE, LLC",308 N WALL STREET,CALHOUN,GA,30701,13.8,17.9,1.5,0.8,9.0,88.1,5.0,24.2,12.1,100.0,99.4,99.2,87.0,99.6,50.7,7.8,98.0,"17,099",3.2,74.6
HOMESTEAD HOME HEALTH & HOSPICE LLC,407 WEST 1ST NORTH,REXBURG,ID,83441,100.0,16.7,0.0,0.0,16.7,40.8,7.0,51.7,89.6,100.0,84.8,100.0,100.0,100.0,16.7,10.2,100.0,"12,259",3.6,92.0
"HOMESTEAD HOSPICE OF AUGUSTA, LLC",215 RONNIE COURT UNIT D,MYRTLE BEACH,SC,29579,100.0,15.2,0.0,0.0,6.3,84.1,9.0,62.5,100.0,100.0,100.0,100.0,100.0,100.0,46.8,9.5,Not Available,"20,984",6.7,91.2
"HOMESTEAD HOSPICE OF CHARLESTON, LLC",133 EAST 1ST STREET SUITE 9,SUMMERVILLE,SC,29483,100.0,10.0,0.0,0.1,6.7,64.9,10.0,52.3,100.0,100.0,100.0,100.0,100.0,100.0,45.6,11.9,100.0,"18,711",7.1,92.2
"HOMESTEAD HOSPICE OF COLUMBIA, LLC","7825 BROAD RIVER ROAD, SUITE 100",IRMO,SC,29063,100.0,11.4,1.1,0.1,3.4,83.1,10.0,53.2,99.0,100.0,97.6,100.0,100.0,100.0,43.2,10.4,100.0,"22,323",6.7,83.7
"HOMESTEAD HOSPICE OF GREENVILLE, LLC",109 LAURENS ROAD BUILDING A1,GREENVILLE,SC,29607,98.1,12.5,2.3,0.0,2.3,60.7,8.0,59.6,96.8,100.0,98.5,98.8,99.4,100.0,45.5,11.6,97.5,"23,844",4.4,89.9
"HOMESTEAD HOSPICE OF OHIO, LLC","577 GRANT STREET, SUITE B",AKRON,OH,44311,100.0,5.7,1.1,0.0,10.2,36.7,10.0,62.5,99.6,100.0,100.0,100.0,100.0,100.0,38.6,17.0,98.0,"20,405",5.3,98.0
HOMETOWN HOMECARE,101 FURR STREET,FAYETTE,MO,65248,100.0,0.0,0.0,0.0,20.0,12.3,9.0,74.1,97.3,100.0,96.7,98.2,100.0,100.0,30.0,20.2,Not Available,"9,573",9.1,96.8
HOMETOWN HOSPICE,2307 SOUTH YORK STREET,MUSKOGEE,OK,74403,91.8,12.5,0.0,0.0,3.1,77.6,8.0,13.7,71.4,98.0,86.2,82.8,98.0,93.9,46.9,5.8,92.3,"18,762",4.4,78.7
HONEST HOSPICE,"8622 RESEDA BLVD, SUITE 218",NORTHRIDGE,CA,91324,97.9,2.3,2.3,2.0,0.0,83.9,8.0,Not Available,81.3,97.9,95.0,95.7,95.8,97.9,55.8,14.4,Not Available,"28,617",16.5,86.2
HONEY BEE HOSPICE INC,"2819 NW LOOP 410, STE A",SAN ANTONIO,TX,78230,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HONEYBEE HOSPICE LLC,1000 STATE HWY 91 S,DILLON,MT,59725,99.2,16.7,0.0,0.0,0.0,50.0,10.0,39.1,81.8,99.2,96.2,100.0,83.5,100.0,16.7,12.2,100.0,"9,044",9.6,93.3
HONOR HOSPICE,"34441 8 MILE RD, SUITE 109",LIVONIA,MI,48152,Not Available,0.0,0.0,0.0,100,11.1,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.0,14.2,Not Available,"6,457",8.6,75.0
HOOSIER UPLANDS HOSPICE,500 W MAIN ST,MITCHELL,IN,47446,100.0,13.3,0.0,0.0,13.3,45.8,10.0,71.1,97.9,100.0,97.4,100.0,100.0,100.0,40.0,14.7,Not Available,"14,658",6.3,96.6
HOPE & CARE HOSPICE,"183 N HILL AVENUE, SUITE 204",PASADENA,CA,91107,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HOPE & GRACE HOSPICE INC,13740 N HIGHWAY 183 BUILDING H UNIT 1,AUSTIN,TX,78750,96.4,9.1,0.0,0.0,0.0,65.7,9.0,57.5,96.4,100.0,100.0,Not Available,100.0,100.0,31.8,8.3,Not Available,"24,460",5.6,89.1
"HOPE & LIGHT HOSPICE, INC",14545 FRIAR ST SUITE 175,VAN NUYS,CA,91411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HOPE & MERCY HOSPICE CARE INC,4959 PALO VERDE STREET,MONTCLAIR,CA,91763,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"HOPE & PEACE HOSPICE CARE, INC","135 S JACKSON ST, SUITE 102",GLENDALE,CA,91205,96.6,0.0,8.0,0.1,8.0,80.0,7.0,Not Available,93.1,96.6,100.0,100.0,93.1,96.6,44.0,11.7,Not Available,"33,002",26.7,66.7
HOPE & PEACE PALLIATIVE CARE,"6257 VAN NUYS BLVD, STE D",VAN NUYS,CA,91401,100.0,0.0,0.0,0.0,4.0,43.9,8.0,Not Available,95.1,100.0,97.5,100.0,97.6,100.0,36.0,9.6,Not Available,"27,906",23.4,100
HOPE 4 ALL HOSPICE LLC,1433 PRAIRIE DR ,CARROLLTON,TX,75007,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HOPE BEYOND HOSPICE INC,25511 BUDDE RD STE 2501,THE WOODLANDS,TX,77380,100.0,25.0,0.0,0.1,12.5,86.9,8.0,69.4,81.4,95.3,Not Available,Not Available,97.7,100.0,50.0,8.5,Not Available,"24,142",8.0,91.3
"HOPE CARE HOSPICE, INC",601 E YORBA LINDA BLVD SUITE 1-E,PLACENTIA,CA,92870,100.0,0.0,0.0,0.2,0.0,16.7,8.0,Not Available,100.0,100.0,Not Available,Not Available,100.0,100.0,17.6,11.6,Not Available,"19,687",3.1,50.0
HOPE HEALTH CARE,3200 BROADWAY BLVD SUITE 220,GARLAND,TX,75043,100.0,15.3,2.8,0.1,5.6,33.0,10.0,36.3,99.5,100.0,98.9,100.0,100.0,100.0,38.9,12.8,100.0,"21,403",7.0,87.8
"HOPE HEALTHCARE & HOSPICE BC, LLC","205 BAYOU GARDENS BOULEVARD, SUITE E",HOUMA,LA,70364,100.0,17.9,0.0,0.2,10.7,29.5,9.0,67.9,98.8,100.0,97.6,100.0,100.0,100.0,39.3,15.7,100.0,"8,753",7.0,95.4
"HOPE HEALTHCARE AND HOSPICE, LLC","301 E KALISTE SALOOM RD, STE 201",LAFAYETTE,LA,70508,100.0,10.2,4.1,0.1,18.4,61.3,9.0,57.5,96.0,100.0,99.7,96.0,98.3,100.0,28.6,9.1,100.0,"14,887",5.8,87.6
HOPE HOSPICE,611 NORTH WALNUT,NEW BRAUNFELS,TX,78130,99.9,15.0,0.5,0.3,8.6,75.5,10.0,72.6,99.6,100.0,99.8,100.0,99.8,100.0,39.1,9.9,100.0,"15,387",7.1,95.1
HOPE HOSPICE,"6377 CLARK AVENUE, SUITE 100",DUBLIN,CA,94568,99.2,1.3,0.6,0.0,5.8,34.8,10.0,45.3,98.5,99.8,100.0,99.3,99.8,100.0,46.1,19.0,100.0,"17,236",9.5,95.7
