Facility Name,Address Line 1,City/Town,State,ZIP Code,Beliefs & Values Addressed (if desired by the patient),"Burdensome transitions, Type 1 (% live discharges)","Burdensome transitions, Type 2 (% live discharges)",CHC/GIP provided (% days),Early live discharges (% live discharges),Gaps in nursing visits (% elections),Hospice Care Index Overall Score,Hospice Visits in the Last Days of Life,Hospice and Palliative Care Composite Process Measure,Hospice and Palliative Care Dyspnea Screening,Hospice and Palliative Care Dyspnea Treatment,Hospice and Palliative Care Pain Assessment,Hospice and Palliative Care Pain Screening,Hospice and Palliative Care Treatment Preferences,Late live discharges (% live discharges),Nurse care minutes per routine home care days (minutes),Patient Treated with an Opioid Who Are Given a Bowel Regimen,Per-beneficiary spending (U.S. dollars $),Skilled nursing minutes on weekends (% minutes),Visits near death (% decedents),Latitude,Longitude
"HOME CONNECT HOSPICE, LLC",200 BROWN ROAD,FREMONT,CA,94539,100.0,0.0,0.0,0.0,100,34.3,8.0,25.0,86.8,100.0,100.0,91.1,91.2,100.0,0.0,15.3,Not Available,"12,634",11.5,94.6,37.516907,-121.911763
HOME HEALTH & HOSPICE CARE,7 EXECUTIVE PARK DRIVE,MERRIMACK,NH,03054,100.0,3.9,1.3,3.0,10.4,60.4,10.0,80.0,99.5,99.7,100.0,99.5,100.0,100.0,36.4,14.9,100.0,"11,795",17.0,97.9,42.852034,-71.519876
HOME HEALTH & HOSPICE OF KANSAS,7607 E HARRY STE 100,WICHITA,KS,67207,100.0,7.8,1.6,0.0,4.7,53.7,8.0,70.1,92.9,100.0,85.9,98.4,100.0,99.4,52.7,11.4,Not Available,"20,421",3.4,98.1,37.665576,-97.227205
HOME HEALTH & HOSPICE OF MONTANA,2445 S 3RD ST. W,MISSOULA,MT,59801,96.6,0.0,4.2,0.0,8.3,80.2,7.0,35.8,75.9,96.6,Not Available,Not Available,93.1,96.6,16.7,7.3,Not Available,"16,808",4.2,75.9,46.856398,-114.014338
HOME HEALTH AND HOSPICE S L M V R M C,601 POLE LINE ROAD,TWIN FALLS,ID,83301,100.0,0.0,0.0,1.0,16.0,38.3,9.0,71.3,97.6,100.0,98.8,96.2,100.0,100.0,24.0,15.2,100.0,"8,432",8.2,98.7,42.400555,-114.524876
HOME HEALTH CARE PROFESSIONALS AND HOSPICE,520 BURKE BYPASS,OLYPHANT,PA,18447,100.0,3.8,0.0,0.1,3.8,80.2,9.0,53.1,98.5,100.0,100.0,100.0,98.5,100.0,38.5,10.7,Not Available,"15,708",2.7,94.4,41.513448,-75.607166
HOME HEALTH PROFESSIONAL & HOSPICE,2222 SPENCE CIRCLE,JONESBORO,AR,72401,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,35.886344,-90.656774
HOME HOSPICE,505 WEST CENTER STREET,SHERMAN,TX,75090,100.0,10.3,3.4,0.2,5.2,21.7,10.0,86.9,94.9,97.9,94.1,100.0,100.0,100.0,36.2,15.8,100.0,"14,838",8.8,98.6,33.604131,-96.550405
HOME HOSPICE,"601 E 2ND ST, STE F",ODESSA,TX,79761,99.7,9.9,2.5,0.6,9.9,59.5,9.0,52.8,58.9,96.8,99.1,46.2,86.4,100.0,27.3,7.3,99.5,"12,417",8.6,94.4,31.855051,-102.350647
HOME HOSPICE DENVER,9100 E MINERAL CIR,CENTENNIAL,CO,80112,100.0,0.0,0.0,0.0,0.0,50.0,8.0,Not Available,100.0,100.0,Not Available,Not Available,100.0,100.0,33.3,13.9,Not Available,"6,446",2.9,100,39.576926,-104.857826
HOME NOW HEALTHCARE SERVICES,"120 W AMERICAN CANYON RD, M-10",AMERICAN CANYON,CA,94503,100.0,10.0,0.0,0.0,5.0,5.2,9.0,8.9,91.7,97.9,Not Available,100.0,100.0,100.0,55.0,15.5,100.0,"33,294",5.3,75.4,38.186532,-122.264069
HOME NURSING COMPANY INC,1770 EAST MAIN STREET,LEBANON,VA,24266,100.0,10.0,20.0,0.0,30.0,39.2,8.0,63.3,96.9,100.0,100.0,100.0,96.9,100.0,20.0,13.2,Not Available,"7,935",7.1,98.2,36.858754,-82.120965
HOME TOWN HOSPICE,921 W MYRTLE ,INDEPENDENCE,KS,67301,93.8,0.0,9.1,0.0,18.2,6.5,6.0,91.7,91.7,100.0,97.4,Not Available,100.0,100.0,63.6,19.8,Not Available,"10,810",7.7,99.0,37.20823,-95.756081
HOMEBRIDGE HOSPICE OF AAMC,763 HIGHWAY 28 BYP STE 16,ABBEVILLE,SC,29620,100.0,6.7,6.7,0.6,20.0,15.6,7.0,72.1,100.0,100.0,Not Available,Not Available,100.0,100.0,13.3,15.9,Not Available,"13,522",4.3,96.5,34.182407,-82.425607
"HOMEBRIDGE HOSPICE, INC",127 S BRAND BLVD SUITE 226,GLENDALE,CA,91204,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.136194,-118.260934
HOMECARE & HOSPICE,115 EAST MAIN STREET,ALLEGANY,NY,14076,100.0,1.6,9.8,0.1,14.8,63.7,7.0,17.8,96.9,100.0,98.8,94.8,99.8,100.0,23.0,8.6,98.2,"6,321",2.5,75.1,,
HOMECARE HEALTH SERVICES HOSPICE,1004 WASHINGTON ST,MANITOWOC,WI,54220,Not Available,0.0,0.0,0.0,25.0,72.9,8.0,90.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25.0,11.6,Not Available,"20,359",13.1,100,44.101825,-87.722752
HOMECARE HOSPICE NORTH LLC,301 HIGHWAY 30 WEST,NEW ALBANY,MS,38652,100.0,30.6,0.9,0.0,2.8,50.2,9.0,77.1,99.1,100.0,99.3,100.0,100.0,100.0,50.9,10.2,98.0,"20,102",5.4,96.4,34.483075,-88.996667
"HOMECARE HOSPICE SOUTH, LLC",2903 ARLINGTON LOOP,HATTIESBURG,MS,39401,99.0,28.8,1.9,0.0,9.6,33.0,8.0,53.8,97.6,100.0,98.4,100.0,99.5,100.0,40.4,8.2,98.3,"15,458",4.5,81.0,31.234112,-89.265885
"HOMECARE HOSPICE, INC ( CENTRAL )","13  NORTHTOWN DRIVE, SUITE 130",JACKSON,MS,39211,99.5,24.6,3.3,0.0,4.9,41.3,8.0,53.9,97.9,100.0,97.6,100.0,100.0,100.0,50.8,8.5,100.0,"18,568",3.4,83.7,32.372134,-90.122605
HOMEDIC HOSPICE CARE,"358 E OLIVE AVE, UNIT 102",BURBANK,CA,91502,100.0,8.3,0.0,0.1,4.2,52.8,9.0,Not Available,85.0,97.5,94.7,96.2,97.5,100.0,29.2,11.1,Not Available,"29,895",21.5,100,34.176817,-118.309323
HOMELAND HOSPICE,2300 VARTAN WAY SUITE 270,HARRISBURG,PA,17110,100.0,2.9,0.0,0.2,2.9,58.0,9.0,74.5,99.9,100.0,100.0,100.0,100.0,100.0,58.6,11.0,99.2,"12,442",6.8,96.4,40.315813,-76.886436
"HOMELINE HOSPICE, INC","436 W COLORADO ST, SUITE 110",GLENDALE,CA,91204,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.136194,-118.260934
HOMEREACH HOSPICE,"2250 OBISPO AVE, SUITE 101",SIGNAL HILL,CA,90755,Not Available,11.1,0.0,2.8,0.0,0.0,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,77.8,28.1,Not Available,"28,551",13.1,100,33.803431,-118.16977
HOMEREACH HOSPICE,"444 WEST UNION STREET, SUITE B",ATHENS,OH,45701,99.6,11.1,0.0,0.9,11.1,47.4,10.0,59.0,98.4,99.2,100.0,99.4,100.0,99.6,27.8,16.4,100.0,"11,341",10.8,96.7,39.311963,-82.08602
HOMESERVE HOSPICE INC,2777 PACIFIC AVE SUITE J,LONG BEACH,CA,90806,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.805401,-118.187701
HOMESIDE HOSPICE LLC,"67 WALNUT AVENUE, SUITE 205",CLARK,NJ,07066,99.0,8.6,1.9,0.1,3.8,76.0,8.0,18.4,95.9,99.5,98.4,97.2,98.2,100.0,55.2,6.5,100.0,"18,017",4.2,77.6,40.62062,-74.315442
"HOMESPUN HOSPICE, LLC",308 N WALL STREET,CALHOUN,GA,30701,13.8,17.9,1.5,0.8,9.0,88.1,5.0,24.2,12.1,100.0,99.4,99.2,87.0,99.6,50.7,7.8,98.0,"17,099",3.2,74.6,34.492384,-84.958336
HOMESTEAD HOME HEALTH & HOSPICE LLC,407 WEST 1ST NORTH,REXBURG,ID,83441,100.0,16.7,0.0,0.0,16.7,40.8,7.0,51.7,89.6,100.0,84.8,100.0,100.0,100.0,16.7,10.2,100.0,"12,259",3.6,92.0,,
"HOMESTEAD HOSPICE OF AUGUSTA, LLC",215 RONNIE COURT UNIT D,MYRTLE BEACH,SC,29579,100.0,15.2,0.0,0.0,6.3,84.1,9.0,62.5,100.0,100.0,100.0,100.0,100.0,100.0,46.8,9.5,Not Available,"20,984",6.7,91.2,33.753481,-78.916375
"HOMESTEAD HOSPICE OF CHARLESTON, LLC",133 EAST 1ST STREET SUITE 9,SUMMERVILLE,SC,29483,100.0,10.0,0.0,0.1,6.7,64.9,10.0,52.3,100.0,100.0,100.0,100.0,100.0,100.0,45.6,11.9,100.0,"18,711",7.1,92.2,33.057779,-80.18291
"HOMESTEAD HOSPICE OF COLUMBIA, LLC","7825 BROAD RIVER ROAD, SUITE 100",IRMO,SC,29063,100.0,11.4,1.1,0.1,3.4,83.1,10.0,53.2,99.0,100.0,97.6,100.0,100.0,100.0,43.2,10.4,100.0,"22,323",6.7,83.7,34.142131,-81.206184
"HOMESTEAD HOSPICE OF GREENVILLE, LLC",109 LAURENS ROAD BUILDING A1,GREENVILLE,SC,29607,98.1,12.5,2.3,0.0,2.3,60.7,8.0,59.6,96.8,100.0,98.5,98.8,99.4,100.0,45.5,11.6,97.5,"23,844",4.4,89.9,34.81279,-82.331714
"HOMESTEAD HOSPICE OF OHIO, LLC","577 GRANT STREET, SUITE B",AKRON,OH,44311,100.0,5.7,1.1,0.0,10.2,36.7,10.0,62.5,99.6,100.0,100.0,100.0,100.0,100.0,38.6,17.0,98.0,"20,405",5.3,98.0,41.064229,-81.520712
HOMETOWN HOMECARE,101 FURR STREET,FAYETTE,MO,65248,100.0,0.0,0.0,0.0,20.0,12.3,9.0,74.1,97.3,100.0,96.7,98.2,100.0,100.0,30.0,20.2,Not Available,"9,573",9.1,96.8,39.138606,-92.660133
HOMETOWN HOSPICE,2307 SOUTH YORK STREET,MUSKOGEE,OK,74403,91.8,12.5,0.0,0.0,3.1,77.6,8.0,13.7,71.4,98.0,86.2,82.8,98.0,93.9,46.9,5.8,92.3,"18,762",4.4,78.7,35.670516,-95.306945
HONEST HOSPICE,"8622 RESEDA BLVD, SUITE 218",NORTHRIDGE,CA,91324,97.9,2.3,2.3,2.0,0.0,83.9,8.0,Not Available,81.3,97.9,95.0,95.7,95.8,97.9,55.8,14.4,Not Available,"28,617",16.5,86.2,34.238208,-118.55029
HONEY BEE HOSPICE INC,"2819 NW LOOP 410, STE A",SAN ANTONIO,TX,78230,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.546515,-98.557207
HONEYBEE HOSPICE LLC,1000 STATE HWY 91 S,DILLON,MT,59725,99.2,16.7,0.0,0.0,0.0,50.0,10.0,39.1,81.8,99.2,96.2,100.0,83.5,100.0,16.7,12.2,100.0,"9,044",9.6,93.3,45.098017,-112.821472
HONOR HOSPICE,"34441 8 MILE RD, SUITE 109",LIVONIA,MI,48152,Not Available,0.0,0.0,0.0,100,11.1,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.0,14.2,Not Available,"6,457",8.6,75.0,42.424935,-83.374264
HOOSIER UPLANDS HOSPICE,500 W MAIN ST,MITCHELL,IN,47446,100.0,13.3,0.0,0.0,13.3,45.8,10.0,71.1,97.9,100.0,97.4,100.0,100.0,100.0,40.0,14.7,Not Available,"14,658",6.3,96.6,38.747201,-86.518136
HOPE & CARE HOSPICE,"183 N HILL AVENUE, SUITE 204",PASADENA,CA,91107,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.155533,-118.086178
HOPE & GRACE HOSPICE INC,13740 N HIGHWAY 183 BUILDING H UNIT 1,AUSTIN,TX,78750,96.4,9.1,0.0,0.0,0.0,65.7,9.0,57.5,96.4,100.0,100.0,Not Available,100.0,100.0,31.8,8.3,Not Available,"24,460",5.6,89.1,30.418557,-97.802545
"HOPE & LIGHT HOSPICE, INC",14545 FRIAR ST SUITE 175,VAN NUYS,CA,91411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.178522,-118.459234
HOPE & MERCY HOSPICE CARE INC,4959 PALO VERDE STREET,MONTCLAIR,CA,91763,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.072329,-117.698315
"HOPE & PEACE HOSPICE CARE, INC","135 S JACKSON ST, SUITE 102",GLENDALE,CA,91205,96.6,0.0,8.0,0.1,8.0,80.0,7.0,Not Available,93.1,96.6,100.0,100.0,93.1,96.6,44.0,11.7,Not Available,"33,002",26.7,66.7,34.13658,-118.245839
HOPE & PEACE PALLIATIVE CARE,"6257 VAN NUYS BLVD, STE D",VAN NUYS,CA,91401,100.0,0.0,0.0,0.0,4.0,43.9,8.0,Not Available,95.1,100.0,97.5,100.0,97.6,100.0,36.0,9.6,Not Available,"27,906",23.4,100,34.178483,-118.431791
HOPE 4 ALL HOSPICE LLC,1433 PRAIRIE DR ,CARROLLTON,TX,75007,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.005262,-96.896742
HOPE BEYOND HOSPICE INC,25511 BUDDE RD STE 2501,THE WOODLANDS,TX,77380,100.0,25.0,0.0,0.1,12.5,86.9,8.0,69.4,81.4,95.3,Not Available,Not Available,97.7,100.0,50.0,8.5,Not Available,"24,142",8.0,91.3,30.136972,-95.46836
"HOPE CARE HOSPICE, INC",601 E YORBA LINDA BLVD SUITE 1-E,PLACENTIA,CA,92870,100.0,0.0,0.0,0.2,0.0,16.7,8.0,Not Available,100.0,100.0,Not Available,Not Available,100.0,100.0,17.6,11.6,Not Available,"19,687",3.1,50.0,33.881158,-117.854783
HOPE HEALTH CARE,3200 BROADWAY BLVD SUITE 220,GARLAND,TX,75043,100.0,15.3,2.8,0.1,5.6,33.0,10.0,36.3,99.5,100.0,98.9,100.0,100.0,100.0,38.9,12.8,100.0,"21,403",7.0,87.8,32.857447,-96.575798
"HOPE HEALTHCARE & HOSPICE BC, LLC","205 BAYOU GARDENS BOULEVARD, SUITE E",HOUMA,LA,70364,100.0,17.9,0.0,0.2,10.7,29.5,9.0,67.9,98.8,100.0,97.6,100.0,100.0,100.0,39.3,15.7,100.0,"8,753",7.0,95.4,29.627637,-90.681784
"HOPE HEALTHCARE AND HOSPICE, LLC","301 E KALISTE SALOOM RD, STE 201",LAFAYETTE,LA,70508,100.0,10.2,4.1,0.1,18.4,61.3,9.0,57.5,96.0,100.0,99.7,96.0,98.3,100.0,28.6,9.1,100.0,"14,887",5.8,87.6,30.155238,-92.028225
HOPE HOSPICE,611 NORTH WALNUT,NEW BRAUNFELS,TX,78130,99.9,15.0,0.5,0.3,8.6,75.5,10.0,72.6,99.6,100.0,99.8,100.0,99.8,100.0,39.1,9.9,100.0,"15,387",7.1,95.1,29.693556,-98.07285
HOPE HOSPICE,"6377 CLARK AVENUE, SUITE 100",DUBLIN,CA,94568,99.2,1.3,0.6,0.0,5.8,34.8,10.0,45.3,98.5,99.8,100.0,99.3,99.8,100.0,46.1,19.0,100.0,"17,236",9.5,95.7,37.715245,-121.9147
"HOPE HOSPICE & HEALTHCARE, INC","29826 HAUN ROAD, SUITE 108",SUN CITY,CA,92586,100.0,10.3,0.0,0.0,7.7,49.6,10.0,38.7,94.1,100.0,100.0,85.3,100.0,100.0,48.7,15.6,Not Available,"22,423",8.9,98.7,33.708982,-117.198853
HOPE HOSPICE & PALLIATIVE CARE,"1125 SCHILLING BLVD EAST, SUITE 101",COLLIERVILLE,TN,38017,100.0,8.7,1.4,0.0,2.9,100,5.0,1.3,99.4,100.0,96.6,100.0,100.0,100.0,14.5,0.8,Not Available,"13,766",3.2,21.7,35.066971,-89.648939
HOPE HOSPICE AND COMMUNITY SERVICES INC,9470 HEALTHPARK CIRCLE,FORT MYERS,FL,33908,98.1,2.9,0.5,3.9,9.4,74.0,10.0,53.8,94.6,99.8,99.0,93.2,99.6,99.7,37.4,15.3,98.2,"13,219",13.2,92.6,26.515834,-81.979469
HOPE HOSPICE AND PALLIATIVE CARE,26780 FRANKLIN RD,SOUTHFIELD,MI,48034,Not Available,6.3,0.0,0.0,18.8,86.7,6.0,7.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12.5,11.2,Not Available,"9,714",10.7,56.7,42.496949,-83.291078
HOPE HOSPICE AND PALLIATIVE CARE,537 W BROADWAY AVE,MEDFORD,WI,54451,100.0,0.0,0.0,0.0,0.0,11.8,10.0,80.6,97.7,100.0,96.0,100.0,100.0,100.0,18.2,16.6,Not Available,"11,997",8.3,98.8,45.19739,-90.407651
HOPE HOSPICE CARE INC,8275 S EASTERN AVE STE 263,LAS VEGAS,NV,89123,100.0,1.0,0.0,0.0,1.0,85.4,6.0,Not Available,97.9,100.0,100.0,100.0,97.9,100.0,51.5,6.3,Not Available,"23,134",12.8,40.0,36.035206,-115.148789
HOPE HOSPICE INC,3356 BABCOCK BOULEVARD SUITE B,PITTSBURGH,PA,15237,99.1,13.9,0.0,0.0,2.8,46.0,10.0,50.3,76.4,99.1,42.5,98.4,99.1,99.1,58.3,12.8,Not Available,"14,678",6.2,97.7,40.549607,-80.043513
HOPE HOSPICE OF ATLANTA,"5604 WENDY BAGWELL PARKWAY, #422",HIRAM,GA,30141,Not Available,0.0,0.0,0.0,0.0,83.3,5.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,54.3,7.5,Not Available,"31,164",2.4,46.2,33.86043,-84.769883
"HOPE HOSPICE, INC",3501 W. ALGONQUIN ROAD,ROLLING MEADOWS,IL,60008,100.0,15.8,0.0,0.1,0.0,65.7,8.0,10.3,100.0,100.0,100.0,100.0,100.0,100.0,21.1,10.3,Not Available,"25,834",2.4,74.4,42.069786,-88.016221
"HOPE INTERNATIONAL HOSPICE, INC.",20705 SOUTH WESTERN AVENUE SUITE 112,TORRANCE,CA,90501,100.0,4.9,0.0,0.0,1.6,53.1,8.0,9.2,98.2,100.0,100.0,96.1,100.0,100.0,67.2,13.0,Not Available,"22,418",17.7,73.5,33.833744,-118.314022
HOPE OF LA HOSPICE INC,"19634 VENTURA BLVD, SUITE 304",TARZANA,CA,91356,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.155097,-118.547553
HOPE SPRINGS HOSPICE & PALLIATIVE CARE,10390 COMMERCE CENTER DR. SUITE 260,RANCHO CUCAMONGA,CA,91730,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,96.6,100.0,Not Available,Not Available,100.0,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.10097,-117.57882
"HOPE STAR HOSPICE CARE, INC.",1010 N CENTRAL AVE SUITE 420,GLENDALE,CA,91202,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.168366,-118.267771
"HOPEFUL HEARTS HOSPICE, INC","20246 SATICOY ST, SUITE 203",WINNETKA,CA,91306,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.209532,-118.577563
HOPEHEALTH HOSPICE & PALLIATIVE CARE,10 EMORY STREET,ATTLEBORO,MA,02703,99.7,10.2,3.4,2.5,19.5,73.0,9.0,74.2,99.0,99.9,100.0,100.0,99.8,100.0,35.6,14.8,98.5,"11,101",12.9,96.2,41.931653,-71.294503
HOPEHEALTH HOSPICE & PALLIATIVE CARE ,1085 NORTH MAIN STREET,PROVIDENCE,RI,02904,99.7,7.2,0.8,4.0,12.0,81.0,10.0,55.0,98.7,99.6,99.7,99.3,99.6,99.9,31.0,14.6,99.9,"12,183",14.8,94.7,41.858334,-71.436294
HOPESTONE HOSPICE & PALLIATIVE CARE,"8900 EF LOWRY EXPRESSWAY, SUITE 102D",TEXAS CITY,TX,77591,Not Available,0.0,0.0,0.6,0.0,94.1,6.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,30.0,6.8,Not Available,"9,595",4.0,68.8,29.399536,-94.996939
"HOPESTONE HOSPICE AND PALLIATIVE CARE, LLC","1452 HUGHES RD, SUITE 100 A",GRAPEVINE,TX,76051,89.8,30.6,5.6,0.2,16.7,57.5,7.0,59.8,76.6,97.5,98.3,94.0,91.4,99.6,22.2,13.4,100.0,"10,766",11.0,94.3,32.925765,-97.071545
HOPEWEST GRAND JUNCTION,2754 COMPASS DR ,GRAND JUNCTION,CO,81506,99.9,0.9,0.0,2.1,2.7,66.7,10.0,77.1,86.4,99.3,99.7,82.5,97.7,100.0,45.3,14.3,96.9,"18,894",10.8,96.4,39.123368,-108.531757
HORISUN HOSPICE,"8055 O ST., STE 300",LINCOLN,NE,68510,100.0,3.8,0.0,0.0,7.7,11.1,9.0,80.7,99.7,100.0,100.0,99.6,100.0,100.0,50.0,17.3,100.0,"9,927",8.9,98.4,40.806237,-96.635703
HORIZON  HOSPICE,63 W WILLOWBROOK DR,MERIDIAN,ID,83642,100.0,7.2,0.0,0.0,6.4,32.7,10.0,41.3,99.1,99.8,100.0,99.7,99.6,99.8,34.4,14.7,100.0,"13,114",6.3,95.5,43.568006,-116.404411
HORIZON HEALTH HOSPICE,26814 143RD STREET,PIERZ,MN,56364,90.9,0.0,0.0,0.0,18.2,37.9,7.0,Not Available,59.1,95.5,Not Available,Not Available,100.0,100.0,27.3,8.3,Not Available,"22,252",4.1,84.6,46.005009,-94.072993
HORIZON HOMECARE AND HOSPICE,11002 WEST PARK PLACE,MILWAUKEE,WI,53224,98.9,10.6,2.0,3.3,9.2,45.9,10.0,67.8,96.2,100.0,99.2,97.9,98.7,100.0,47.4,12.1,100.0,"11,180",10.5,96.3,43.16333,-88.039699
HORIZON HOSPICE,1709 W 7TH STREET PO BOX 426,CHANUTE,KS,66720,Not Available,0.0,0.0,0.0,0.0,15.4,9.0,87.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,50.0,18.6,Not Available,"7,850",8.0,100,37.64833,-95.45719
HORIZON HOSPICE,"2720 EAST THOMAS ROAD, SUITE B-270",PHOENIX,AZ,85016,Not Available,0.0,0.0,0.1,0.0,45.0,10.0,77.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.0,17.1,Not Available,"15,087",5.2,96.6,33.511517,-112.019166
HORIZON HOSPICE,608 E HOLLAND AVE,SPOKANE,WA,99218,99.8,3.1,3.8,0.0,4.6,42.8,10.0,93.7,98.6,99.8,98.8,100.0,99.5,100.0,46.2,16.1,100.0,"17,235",10.7,99.1,47.758924,-117.409388
HORIZON HOSPICE MAGIC VALLEY,855 N COLLEGE ROAD,TWIN FALLS,ID,83301,99.0,2.5,2.5,0.0,7.5,51.4,9.0,54.6,98.0,100.0,100.0,98.5,100.0,100.0,35.0,10.8,100.0,"12,113",8.0,96.4,42.400555,-114.524876
HORIZON HOSPICE SPECIALISTS,"6000 SOUTH FASHION BOULEVARD, SUITE 200",MURRAY,UT,84107,100.0,0.0,0.0,0.0,0.0,69.4,9.0,74.2,75.0,95.8,95.2,Not Available,87.5,100.0,77.8,11.2,Not Available,"18,916",9.3,87.2,40.658025,-111.88445
HORIZON HOSPICE SPECIALISTS - SG,"168 NORTH 100 EAST, SUITE 260",ST GEORGE,UT,84770,Not Available,0.0,0.0,0.0,0.0,76.9,9.0,45.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.0,18.7,Not Available,"15,583",19.5,81.8,37.185988,-113.609694
HORIZON HOSPICE WEST,211 E LOGAN STREET STE #103,CALDWELL,ID,83605,99.1,1.8,1.8,0.0,7.3,32.5,9.0,44.5,97.3,100.0,100.0,100.0,98.2,100.0,34.5,12.7,100.0,"13,979",8.7,94.7,43.661908,-116.65629
HORIZON PUBLIC HEALTH,809 ELM STREET SUITE 1200,ALEXANDRIA,MN,56308,100.0,0.0,0.0,0.0,16.7,55.2,9.0,74.5,97.5,100.0,97.5,100.0,98.8,100.0,33.3,13.5,100.0,"11,535",6.2,94.6,45.878391,-95.386055
HORIZON VIEW HOSPICE INC,232 N LAKE AVE SUITE 225,PASADENA,CA,91101,95.8,6.3,0.0,0.2,0.0,97.7,7.0,Not Available,91.7,95.8,97.4,96.2,95.8,95.8,50.0,8.4,Not Available,"27,393",14.1,53.3,34.146671,-118.139455
HORIZONS HOSPICE,140 CYPRESS STATION STE 214,HOUSTON,TX,77357,100.0,28.0,1.3,0.0,2.7,74.9,7.0,49.4,96.9,100.0,97.9,95.5,99.4,100.0,40.0,7.5,100.0,"27,134",5.1,97.4,30.161065,-95.189809
HORN HOSPICE,700 EAST SECOND STREET,IDA GROVE,IA,51445,100.0,0.0,0.0,0.2,12.5,13.3,9.0,71.4,86.4,95.5,Not Available,Not Available,95.5,100.0,12.5,17.2,Not Available,"9,886",2.5,100,42.321415,-95.462213
"HOSANNA HOSPICE, LLC",219 S CAGE BLVD STE 15,PHARR,TX,78577,100.0,11.5,0.0,0.0,11.5,74.2,6.0,Not Available,92.3,92.3,Not Available,Not Available,100.0,100.0,65.4,9.3,Not Available,"27,741",1.3,88.9,26.15153,-98.189752
HOSPARUS SOUTHERN INDIANA,502 HAUSFELDT LANE,NEW ALBANY,IN,47150,100.0,1.1,2.1,1.1,3.2,75.4,10.0,66.6,99.6,100.0,99.6,99.7,100.0,100.0,41.1,10.8,100.0,"13,003",7.8,92.1,38.283506,-85.847601
HOSPARUS WESTERN KENTUCKY,200 CLINIC DRIVE,MADISONVILLE,KY,42431,100.0,0.0,7.1,0.5,10.7,75.7,9.0,52.7,99.0,99.0,100.0,100.0,100.0,100.0,32.1,16.5,Not Available,"6,942",11.7,88.1,37.334473,-87.481387
"HOSPARUS, INC",6200 DUTCHMANS LANE,LOUISVILLE,KY,40205,100.0,2.5,0.9,2.6,11.2,70.5,10.0,51.8,99.5,99.9,99.9,99.6,100.0,100.0,29.9,11.3,99.8,"10,527",8.2,91.9,38.223001,-85.683261
